DATE,EVENT
25/12/2012,XMAS
26/12/2012,XMAS
01/01/2013,XMAS
25/12/2013,XMAS
26/12/2013,XMAS
01/01/2014,XMAS
25/12/2014,XMAS
26/12/2014,XMAS
01/01/2015,XMAS
25/12/2015,XMAS
01/01/2016,XMAS
26/12/2016,XMAS
27/12/2016,XMAS
25/12/2017,XMAS
26/12/2017,XMAS
01/01/2018,XMAS
25/12/2018,XMAS
26/12/2018,XMAS
01/01/2019,XMAS
25/12/2019,XMAS
26/12/2019,XMAS
01/01/2020,XMAS
25/12/2020,XMAS
01/01/2021,XMAS
25/12/2021,XMAS
26/12/2021,XMAS
27/12/2021,XMAS
28/12/2021,XMAS
01/01/2022,XMAS
25/12/2022,XMAS
26/12/2022,XMAS
01/01/2023,XMAS
25/12/2023,XMAS
26/12/2023,XMAS
01/01/2024,XMAS
25/12/2024,XMAS
26/12/2024,XMAS
01/01/2025,XMAS
25/12/2025,XMAS
26/12/2025,XMAS
07/04/2012,PUBLIC
09/04/2012,PUBLIC
25/12/2012,PUBLIC
26/12/2012,PUBLIC
01/01/2013,PUBLIC
25/12/2013,PUBLIC
26/12/2013,PUBLIC
01/01/2014,PUBLIC
18/04/2014,PUBLIC
19/04/2014,PUBLIC
21/04/2014,PUBLIC
25/12/2014,PUBLIC
26/12/2014,PUBLIC
01/01/2015,PUBLIC
25/12/2015,PUBLIC
01/01/2016,PUBLIC
26/12/2016,PUBLIC
27/12/2016,PUBLIC
02/01/2017,PUBLIC
14/04/2017,PUBLIC
15/04/2017,PUBLIC
17/04/2017,PUBLIC
25/12/2017,PUBLIC
26/12/2017,PUBLIC
01/01/2018,PUBLIC
25/12/2018,PUBLIC
26/12/2018,PUBLIC
01/01/2019,PUBLIC
19/04/2019,PUBLIC
20/04/2019,PUBLIC
22/04/2019,PUBLIC
25/12/2019,PUBLIC
26/12/2019,PUBLIC
01/01/2020,PUBLIC
10/04/2020,PUBLIC
11/04/2020,PUBLIC
13/04/2020,PUBLIC
25/12/2020,PUBLIC
01/01/2021,PUBLIC
25/12/2021,PUBLIC
26/12/2021,PUBLIC
