DATE,EVENT
2/1/12,PUBLIC
26/1/12,PUBLIC
12/3/12,PUBLIC
6/4/12,PUBLIC
7/4/12,PUBLIC
9/4/12,PUBLIC
25/4/12,PUBLIC
11/6/12,PUBLIC
1/10/12,PUBLIC
25/12/12,PUBLIC
26/12/12,PUBLIC
1/1/13,PUBLIC
28/1/13,PUBLIC
11/3/13,PUBLIC
29/3/13,PUBLIC
30/3/13,PUBLIC
1/4/13,PUBLIC
25/4/13,PUBLIC
10/6/13,PUBLIC
7/10/13,PUBLIC
25/12/13,PUBLIC
26/12/13,PUBLIC
1/1/14,PUBLIC
27/1/14,PUBLIC
10/3/14,PUBLIC
18/4/14,PUBLIC
19/4/14,PUBLIC
21/4/14,PUBLIC
25/4/14,PUBLIC
9/6/14,PUBLIC
6/10/14,PUBLIC
25/12/14,PUBLIC
26/12/14,PUBLIC
1/1/15,PUBLIC
26/1/15,PUBLIC
9/3/15,PUBLIC
3/4/15,PUBLIC
4/4/15,PUBLIC
6/4/15,PUBLIC
25/4/15,PUBLIC
8/6/15,PUBLIC
5/10/15,PUBLIC
25/12/15,PUBLIC
28/12/15,PUBLIC
1/1/16,PUBLIC
26/1/16,PUBLIC
14/3/16,PUBLIC
25/3/16,PUBLIC
26/3/16,PUBLIC
28/3/16,PUBLIC
25/4/16,PUBLIC
13/6/16,PUBLIC
3/10/16,PUBLIC
26/12/16,PUBLIC
27/12/16,PUBLIC
2/1/17,PUBLIC
26/1/17,PUBLIC
13/3/17,PUBLIC
14/4/17,PUBLIC
15/4/17,PUBLIC
17/4/17,PUBLIC
25/4/17,PUBLIC
12/6/17,PUBLIC
2/10/17,PUBLIC
25/12/17,PUBLIC
26/12/17,PUBLIC
1/1/18,PUBLIC
26/1/18,PUBLIC
12/3/18,PUBLIC
30/3/18,PUBLIC
31/3/18,PUBLIC
2/4/18,PUBLIC
25/4/18,PUBLIC
11/6/18,PUBLIC
1/10/18,PUBLIC
25/12/18,PUBLIC
26/12/18,PUBLIC
1/1/19,PUBLIC
28/1/19,PUBLIC
11/3/19,PUBLIC
19/4/19,PUBLIC
20/4/19,PUBLIC
22/4/19,PUBLIC
25/4/19,PUBLIC
10/6/19,PUBLIC
7/10/19,PUBLIC
25/12/19,PUBLIC
26/12/19,PUBLIC
1/1/20,PUBLIC
27/1/20,PUBLIC
9/3/20,PUBLIC
10/4/20,PUBLIC
11/4/20,PUBLIC
13/4/20,PUBLIC
25/4/20,PUBLIC
8/6/20,PUBLIC
5/10/20,PUBLIC
25/12/20,PUBLIC
28/12/20,PUBLIC
13/4/19,SCHOOL
14/4/19,SCHOOL
15/4/19,SCHOOL
16/4/19,SCHOOL
17/4/19,SCHOOL
18/4/19,SCHOOL
19/4/19,SCHOOL
20/4/19,SCHOOL
21/4/19,SCHOOL
22/4/19,SCHOOL
23/4/19,SCHOOL
24/4/19,SCHOOL
25/4/19,SCHOOL
26/4/19,SCHOOL
27/4/19,SCHOOL
28/4/19,SCHOOL
6/7/19,SCHOOL
7/7/19,SCHOOL
8/7/19,SCHOOL
9/7/19,SCHOOL
10/7/19,SCHOOL
11/7/19,SCHOOL
12/7/19,SCHOOL
13/7/19,SCHOOL
14/7/19,SCHOOL
15/7/19,SCHOOL
16/7/19,SCHOOL
17/7/19,SCHOOL
18/7/19,SCHOOL
19/7/19,SCHOOL
20/7/19,SCHOOL
21/7/19,SCHOOL
28/9/19,SCHOOL
29/9/19,SCHOOL
30/9/19,SCHOOL
1/10/19,SCHOOL
2/10/19,SCHOOL
3/10/19,SCHOOL
4/10/19,SCHOOL
5/10/19,SCHOOL
6/10/19,SCHOOL
7/10/19,SCHOOL
8/10/19,SCHOOL
9/10/19,SCHOOL
10/10/19,SCHOOL
11/10/19,SCHOOL
12/10/19,SCHOOL
13/10/19,SCHOOL
14/12/19,SCHOOL
15/12/19,SCHOOL
16/12/19,SCHOOL
17/12/19,SCHOOL
18/12/19,SCHOOL
19/12/19,SCHOOL
20/12/19,SCHOOL
21/12/19,SCHOOL
22/12/19,SCHOOL
23/12/19,SCHOOL
24/12/19,SCHOOL
25/12/19,SCHOOL
26/12/19,SCHOOL
27/12/19,SCHOOL
28/12/19,SCHOOL
29/12/19,SCHOOL
30/12/19,SCHOOL
31/12/19,SCHOOL
1/1/20,SCHOOL
2/1/20,SCHOOL
3/1/20,SCHOOL
4/1/20,SCHOOL
5/1/20,SCHOOL
6/1/20,SCHOOL
7/1/20,SCHOOL
8/1/20,SCHOOL
9/1/20,SCHOOL
10/1/20,SCHOOL
11/1/20,SCHOOL
12/1/20,SCHOOL
13/1/20,SCHOOL
14/1/20,SCHOOL
15/1/20,SCHOOL
16/1/20,SCHOOL
17/1/20,SCHOOL
18/1/20,SCHOOL
19/1/20,SCHOOL
20/1/20,SCHOOL
21/1/20,SCHOOL
22/1/20,SCHOOL
23/1/20,SCHOOL
24/1/20,SCHOOL
25/1/20,SCHOOL
26/1/20,SCHOOL
27/1/20,SCHOOL
10/4/20,SCHOOL
11/4/20,SCHOOL
12/4/20,SCHOOL
13/4/20,SCHOOL
14/4/20,SCHOOL
15/4/20,SCHOOL
16/4/20,SCHOOL
17/4/20,SCHOOL
18/4/20,SCHOOL
19/4/20,SCHOOL
20/4/20,SCHOOL
21/4/20,SCHOOL
22/4/20,SCHOOL
23/4/20,SCHOOL
24/4/20,SCHOOL
25/4/20,SCHOOL
26/4/20,SCHOOL
4/7/20,SCHOOL
5/7/20,SCHOOL
6/7/20,SCHOOL
7/7/20,SCHOOL
8/7/20,SCHOOL
9/7/20,SCHOOL
10/7/20,SCHOOL
11/7/20,SCHOOL
12/7/20,SCHOOL
13/7/20,SCHOOL
14/7/20,SCHOOL
15/7/20,SCHOOL
16/7/20,SCHOOL
17/7/20,SCHOOL
18/7/20,SCHOOL
19/7/20,SCHOOL
26/9/20,SCHOOL
27/9/20,SCHOOL
28/9/20,SCHOOL
29/9/20,SCHOOL
30/9/20,SCHOOL
1/10/20,SCHOOL
2/10/20,SCHOOL
3/10/20,SCHOOL
4/10/20,SCHOOL
5/10/20,SCHOOL
6/10/20,SCHOOL
7/10/20,SCHOOL
8/10/20,SCHOOL
9/10/20,SCHOOL
10/10/20,SCHOOL
11/10/20,SCHOOL
12/12/20,SCHOOL
